Problem,Prefix_Equation,Answer,Encoded
"For Halloween, Jack scored 33 pieces of candy. He ate 17 pieces the first night and then his sister gave him 19 more pieces. How many pieces of candy does Jack have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Rachel scored 33 pieces of candy. She ate 17 pieces the first night and then her brother gave her 19 more pieces. How many pieces of candy does Rachel have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Samantha scored 33 pieces of candy. She ate 17 pieces the first night and then her friend gave her 19 more pieces. How many pieces of candy does Samantha have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Tyler scored 33 pieces of candy. He ate 17 pieces the first night and then his mom gave him 19 more pieces. How many pieces of candy does Tyler have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Sarah scored 33 pieces of candy. She ate 17 pieces the first night and then her dad gave her 19 more pieces. How many pieces of candy does Sarah have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
Haley scored 33 pieces of candy on Halloween. She ate 17 of them the first night and her sister gave her 19 more. How many pieces of candy does Haley have now?,- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"Haley received 33 pieces of candy on Halloween. After eating 17, her sister gave her an additional 19 pieces. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"On Halloween, 33 pieces of candy were scored by Haley. She ate 17 and then received 19 more from her sister. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
Haley got 33 pieces of candy on Halloween. She ate 17 and then was given 19 more by her sister. How many pieces of candy does Haley have now?,- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, 33 pieces of candy were given to Haley. She ate 17 and her sister gave her an additional 19. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Haley scored 33 pieces of candy and 3 bags of chips. She ate 17 pieces of candy the first night and then her sister gave her 19 more pieces. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Haley scored 33 pieces of candy and 4 packs of gum. She ate 17 pieces of candy the first night and then her sister gave her 19 more pieces. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Haley scored 33 pieces of candy and 5 bottles of soda. She ate 17 pieces of candy the first night and then her sister gave her 19 more pieces. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Haley scored 33 pieces of candy and 6 bags of chips. She ate 17 pieces of candy the first night and then her sister gave her 19 more pieces. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
"For Halloween, Haley scored 33 pieces of candy and 7 packs of gum. She ate 17 pieces of candy the first night and then her sister gave her 19 more pieces. How many pieces of candy does Haley have now?",- + 33.0 19.0 17.0,35.0,"[1, 5, 4, 523, 297, 271, 2]"
Haley scored 33 pieces of candy on Halloween. She ate some of them the first night and her sister gave her 19 more. Now she has 35 pieces of candy. How many pieces of candy did Haley eat?,- + 33.0 19.0 35.0,33.0,"[1, 5, 4, 523, 297, 544, 2]"
The product of 6 and 9 times a number is the same as the difference between 10 times the number and 2 . What is the number ?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of 6 and 9 times a value is the same as the difference between 10 times the value and 2. What is the value?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of 6 and 9 times an integer is the same as the difference between 10 times the integer and 2. What is the integer?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of 6 and 9 times a quantity is the same as the difference between 10 times the quantity and 2. What is the quantity?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of 6 and 9 times a number n is the same as the difference between 10 times n and 2. What is n?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of 6 and 9 times a number x is the same as the difference between 10 times x and 2. What is x?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"If the product of 6 and 9 times a number is the same as the difference between 10 times the number and 2, what is the number?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"The number for which the product of 6 and 9 times it is the same as the difference between 10 times it and 2, what is it?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"If the difference between 10 times a number and 2 is the same as the product of 6 and 9 times the number, what is the number?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"The number for which the difference between 10 times it and 2 is the same as the product of 6 and 9 times it, what is it?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
What is the number that makes the product of 6 and 9 times it the same as the difference between 10 times it and 2?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"What number, when multiplied by 9 and 6, is equal to the difference between 10 times the number and 2?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"If 6 and 9 are multiplied by a number, and the result is equal to 10 times the number minus 2, what is the number?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"If we multiply a number by both 6 and 9, and the result is the same as 10 times the number minus 2, what is the number?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of 9 and 6 times a number is equal to the difference between 10 times the number and 2. What number is this?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
"If we multiply a number by both 6 and 9, and the result is equal to the difference between 10 times the number and 2, what is the number?",/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The product of a number and both 6 and 9 is equal to the difference between 10 times the number and 2. What is the number?,/ 2 - 10.0 * 6.0 9.0,-0.04545,"[1, 6, 307, 5, 92, 3, 797, 1001, 2]"
The Hawks scored 3 touchdowns worth 7 points each . How many points do they have ?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
The Falcons scored 3 touchdowns worth 7 points each. How many points do they have?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
The Eagles scored 3 touchdowns worth 7 points each. How many points do they have?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
The Ravens scored 3 touchdowns worth 7 points each. How many points do they have?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
The Lions scored 3 touchdowns worth 7 points each. How many points do they have?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
The Bears scored 3 touchdowns worth 7 points each. How many points do they have?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"How many points does the Hawks team have, given that they scored 3 touchdowns worth 7 points each?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns, and each touchdown is worth 7 points. How many points does the team have in total?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"If the Hawks scored 3 touchdowns and each touchdown is worth 7 points, how many points does the team have?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns, and each touchdown had a point value of 7. How many points does the team have in total?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
The Hawks scored 3 touchdowns worth 7 points each. What is the total number of points that the team has?,* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns worth 7 points each, and they also had an extra 14 points from field goals. How many points do they have from touchdowns?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns worth 7 points each, and they also had an extra 7 points from a safety. How many points do they have from touchdowns?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns worth 7 points each, and they also had an extra 28 points from extra point conversions. How many points do they have touchdowns?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns worth 7 points each, and they also had an extra 56 points from defensive touchdowns. How many points do they have from non-defensive touchdowns?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"The Hawks scored 3 touchdowns worth 7 points each, and they also had an extra 112 points from penalties. How many points do they have from touchdowns?",* 3.0 7.0,21.0,"[1, 3, 475, 876, 2]"
"If the Hawks have 21 points, how many touchdowns worth 7 points each did they score given that all of their points were from touchdowns?",/ 21.0 7.0,3.0,"[1, 6, 348, 876, 2]"
Sara picked 6 pears and Tim picked 5 pears from the pear tree . How many pears were picked in total ?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
Maria collected 7 apples and Antonio gathered 6 apples from the apple tree. How many apples were picked in total?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
John picked 8 bananas and Mary picked 9 bananas from the banana tree. How many bananas were picked in total?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
Rachel gathered 5 oranges and Michael collected 4 oranges from the orange tree. How many oranges were picked in total?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
Kevin picked 10 grapes and Jessica gathered 9 grapes from the grapevine. How many grapes were picked in total?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
Emily picked 3 watermelons and Alex gathered 2 watermelons from the watermelon patch. How many watermelons were picked in total?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
How many pears were picked in total when Sara picked 6 and Tim picked 5 from the pear tree?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"From the pear tree, Sara picked 6 pears and Tim picked 5 pears. How many pears were picked in total?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
Sara picked 6 pears and Tim picked 5 pears. How many pears were picked in total from the pear tree?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
A total of how many pears were picked when Sara picked 6 and Tim picked 5 from the pear tree?,+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"From the pear tree, a total of how many pears were picked when Sara picked 6 and Tim picked 5?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"Sara picked 6 pears and Tim picked 5 pears from the pear tree, which had a total of 12 branches. How many pears were picked in total?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"Sara picked 6 pears and Tim picked 5 pears from the pear tree, which was located in a garden with a total of 9 flower beds. How many pears were picked in total?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"Sara picked 6 pears and Tim picked 5 pears from the pear tree, which was surrounded by a fence with a total of 8 posts. How many pears were picked in total?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"Sara picked 6 pears and Tim picked 5 pears from the pear tree, which was growing in a field with a total of 10 cow pastures. How many pears were picked in total?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"Sara picked 6 pears and Tim picked 5 pears from the pear tree, which was situated on a property with a total of 7 sheds. How many pears were picked in total?",+ 6 5,11.0,"[1, 4, 796, 699, 2]"
"How many pears did Sara pick when the total number of pears that Sara and Tim picked together was 11, given that Tim picked 5 pears?",- 11 5,6.0,"[1, 5, 119, 699, 2]"
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12 pack . How much would each can of soft drink cost if purchased individually , in dollars ?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Milk is on sale at the grocery store for 3.50 dollars for a 10 pack. How much would each cup of milk cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Bread is on sale at the grocery store for 4.99 dollars for a 16 pack. How much would each slice of bread cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Apples are on sale at the grocery store for 1.99 dollars for a 6 pack. How much would each apple cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Eggs are on sale at the grocery store for 2.49 dollars for a 12 pack. How much would each egg cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Chips are on sale at the grocery store for 4.99 dollars for a 15 pack. How much would each bag of chips cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"How much would each can of soft drink cost, in dollars, if purchased individually from the grocery store where they are on sale for 2.99 dollars for a 12 pack?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"For a 12 pack on sale at the grocery store for 2.99 dollars, how much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"On sale at the grocery store for 2.99 dollars for a 12 pack, how much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"If purchased individually, how much would each can of soft drink cost, in dollars, from the grocery store where they are on sale for 2.99 dollars for a 12 pack?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"How much, in dollars, would each can of soft drink cost if purchased individually from the grocery store where they are on sale for 2.99 dollars for a 12 pack?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12 pack, which is the same number of days in two weeks. The store is located at a distance of 3.5 miles from Nick's house. How much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12 pack, which is the same number of numbers on a standard clock. The store is open for 10 hours a day. How much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12 pack, which is the same number of players on a soccer team. The store has a total of 15 cash registers. How much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12 pack, which is the same number of players on a basketball team. The store has a total of 20 aisles. How much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"Soft drinks are on sale at the grocery store for 2.99 dollars for a 12 pack, which is the same number of keys on a piano. The store has a total of 25 employees. How much would each can of soft drink cost if purchased individually, in dollars?",/ 2.99 12.0,0.25,"[1, 6, 327, 150, 2]"
"If the cost of each can of soft drink is $0.25 when purchased individually, how much are the soft drinks on sale for at the grocery store for a 12 pack, in dollars?",* 12.0 0.25,3.0,"[1, 3, 150, 29, 2]"
"Paige had 43 math problems and 12 science problems for homework . If she finished 44 of the problems at school , how many problems did she have to do for homework ?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Jake had 28 history questions and 16 English questions for homework. If he finished 26 of the questions at school, how many questions did he have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Samantha had 37 art projects and 18 music projects for homework. If she finished 35 of the projects at school, how many projects did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Alex had 22 math problems and 8 science problems for homework. If he finished 24 of the problems at school, how many problems did he have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Rachel had 30 English questions and 10 history questions for homework. If she finished 28 of the questions at school, how many questions did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Nick had 17 art projects and 5 music projects for homework. If he finished 19 of the projects at school, how many projects did he have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"How many problems did Paige have to do for homework if she finished 44 of the problems at school, given that she had 43 math problems and 12 science problems for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"If she finished 44 of the problems at school, how many problems did Paige have to do for homework, given that she had 43 math problems and 12 science problems for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Given that she had 43 math problems and 12 science problems for homework, how many problems did Paige have to do for homework if she finished 44 of the problems at school?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"How many problems did Paige have left to do for homework if she finished 44 of the problems at school, given that she had 43 math problems and 12 science problems for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Given that she had 43 math problems and 12 science problems for homework, how many problems did Paige still have to do for homework if she finished 44 of the problems at school?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Paige had 43 math problems and 12 science problems for homework, which is the same number of countries in the world. If she finished 44 of the problems at school, how many problems did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Paige had 43 math problems and 12 science problems for homework, which is the same number of cards in a standard deck. If she finished 44 of the problems at school, how many problems did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Paige had 43 math problems and 12 science problems for homework, which is the same number of constellations in the sky. If she finished 44 of the problems at school, how many problems did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Paige had 43 math problems and 12 science problems for homework, which is the same number of points on a star. If she finished 44 of the problems at school, how many problems did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"Paige had 43 math problems and 12 science problems for homework, which is the same number of time zones in the world. If she finished 44 of the problems at school, how many problems did she have to do for homework?",- + 43.0 12.0 44.0,11.0,"[1, 5, 4, 648, 150, 655, 2]"
"If Paige had 11 problems left to do for homework, how many problems did she finish at school, given that she had 43 math problems and 12 science problems for homework?",- + 43.0 12.0 11.0,44.0,"[1, 5, 4, 648, 150, 120, 2]"
"The school cafeteria ordered 25 red apples and 17 green apples for students lunches . But , if only 10 students wanted fruit , how many extra did the cafeteria end up with ?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The bakery ordered 35 blueberries and 23 strawberries for customers' breakfasts. But if only 13 customers wanted fruit, how many extra did the bakery end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The restaurant ordered 22 oranges and 18 lemons for customers' drinks. But if only 12 customers wanted fruit, how many extra did the restaurant end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The grocery store ordered 20 bananas and 14 kiwis for shoppers' snacks. But if only 8 shoppers wanted fruit, how many extra did the grocery store end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The farmer's market ordered 30 watermelons and 15 mangoes for shoppers' fruit bowls. But if only 9 shoppers wanted fruit, how many extra did the farmer's market end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The fruit stand ordered 27 grapes and 19 apples for customers' fruit baskets. But if only 14 customers wanted fruit, how many extra did the fruit stand end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"How many extra did the cafeteria end up with if only 10 students wanted fruit, given that the cafeteria ordered 25 red apples and 17 green apples for students' lunches?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"Given that the cafeteria ordered 25 red apples and 17 green apples for students' lunches, how many extra did the cafeteria end up with if only 10 students wanted fruit?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"If only 10 students wanted fruit, and the cafeteria ordered 25 red apples and 17 green apples for students' lunches, how many extra did the cafeteria end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"Given that the cafeteria ordered 25 red apples and 17 green apples for students' lunches, how many extra apples did the cafeteria have if only 10 students wanted fruit?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"How many extra apples did the cafeteria have if only 10 students wanted fruit, given that the cafeteria ordered 25 red apples and 17 green apples for students' lunches?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The school cafeteria ordered 25 red apples and 17 green apples for students' lunches, which is the same number of students in a typical classroom. But if only 10 students wanted fruit, how many extra did the cafeteria end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The school cafeteria ordered 25 red apples and 17 green apples for students' lunches, which is the same number of students in a school bus. But if only 10 students wanted fruit, how many extra did the cafeteria end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The school cafeteria ordered 25 red apples and 17 green apples for students' lunches, which is the same number of students on a soccer team. But if only 10 students wanted fruit, how many extra did the cafeteria end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The school cafeteria ordered 25 red apples and 17 green apples for students' lunches, which is the same number of students in a school yearbook. But if only 10 students wanted fruit, how many extra did the cafeteria end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"The school cafeteria ordered 25 red apples and 17 green apples for students' lunches, which is the same number of students in a high school. But if only 10 students wanted fruit, how many extra did the cafeteria end up with?",- + 25.0 17.0 10.0,32.0,"[1, 5, 4, 412, 271, 92, 2]"
"If the cafeteria ended up with 32 extra apples, how many students wanted fruit, given that the cafeteria ordered 25 red apples and 17 green apples for students' lunches?",- + 25.0 17.0 32.0,10.0,"[1, 5, 4, 412, 271, 510, 2]"
Mandy made an apple pie . She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg . How much more cinnamon than nutmeg did Mandy use ?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
John made a cherry cobbler. He used 0.6666666666666666 tablespoon of vanilla extract and 0.5 tablespoon of baking powder. How much more vanilla extract than baking powder did John use?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
Sarah made a peach crisp. She used 0.6666666666666666 tablespoon of sugar and 0.5 tablespoon of flour. How much more sugar than flour did Sarah use?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
Michael made a blueberry muffin. He used 0.6666666666666666 tablespoon of honey and 0.5 tablespoon of salt. How much more honey than salt did Michael use?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
Emily made a raspberry tart. She used 0.6666666666666666 tablespoon of butter and 0.5 tablespoon of milk. How much more butter than milk did Emily use?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
Ben made a strawberry shortcake. He used 0.6666666666666666 tablespoon of cocoa powder and 0.5 tablespoon of cream. How much more cocoa powder than cream did Ben use?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"How much more cinnamon than nutmeg did Mandy use, given that she used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg for her apple pie?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"Given that Mandy used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg for her apple pie, how much more cinnamon than nutmeg did she use?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
Mandy used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg for her apple pie. How much more cinnamon than nutmeg did she use?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"How much more cinnamon did Mandy use than nutmeg, given that she used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg for her apple pie?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
Mandy used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg for her apple pie. How much of a difference was there between the amount of cinnamon and nutmeg she used?,- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg, which is the same number of days in a week. How much more cinnamon than nutmeg did Mandy use?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg, which is the same number of continents on Earth. How much more cinnamon than nutmeg did Mandy use?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg, which is the same number of letters in the alphabet. How much more cinnamon than nutmeg did Mandy use?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg, which is the same number of sides on a square. How much more cinnamon than nutmeg did Mandy use?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"Mandy made an apple pie. She used 0.6666666666666666 tablespoon of cinnamon and 0.5 tablespoon of nutmeg, which is the same number of bones in the human body. How much more cinnamon than nutmeg did Mandy use?",- 0.6666666666666666 0.5,0.166666667,"[1, 5, 57, 52, 2]"
"If Mandy used 0.16666666666666666 tablespoon more cinnamon than nutmeg, how much cinnamon did she use for her apple pie given that she used 0.5 tablespoon of nutmeg?",+ 0.1666666666666666 0.5,0.666666667,"[1, 4, 19, 52, 2]"
"Bridget has 4 Skittles . Henry has 4 Skittles . If Henry gives all of his Skittles to Bridget , how many Skittles will Bridget have ?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"Maria has 2 M&Ms. Jose has 2 M&Ms. If Jose gives all of his M&Ms to Maria, how many M&Ms will Maria have?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"Emma has 6 jellybeans. Josh has 6 jellybeans. If Josh gives all of his jellybeans to Emma, how many jellybeans will Emma have?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"Olivia has 3 licorice pieces. Dylan has 3 licorice pieces. If Dylan gives all of his licorice pieces to Olivia, how many licorice pieces will Olivia have?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"Lucas has 5 gummy bears. Madison has 5 gummy bears. If Madison gives all of her gummy bears to Lucas, how many gummy bears will Lucas have?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"Samantha has 8 fruit snacks. Andrew has 8 fruit snacks. If Andrew gives all of his fruit snacks to Samantha, how many fruit snacks will Samantha have?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"If Henry gives all of his Skittles to Bridget, how many Skittles will Bridget have, given that Bridget has 4 Skittles and Henry has 4 Skittles?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"Given that Bridget has 4 Skittles and Henry has 4 Skittles, if Henry gives all of his Skittles to Bridget, how many Skittles will Bridget have?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
"How many Skittles will Bridget have if Henry gives all of his Skittles to Bridget, given that Bridget has 4 Skittles and Henry has 4 Skittles?",+ 4.0 4.0,8.0,"[1, 4, 601, 601, 2]"
